Estonian word,Slovak word
Hiina Rahvavabariik,Čínska ľudová republika
Hiina latern,Čínska lampa
Himaalaja,himalajský
Hispaania,španielsko
Hollandi,holandský
Hollywood,hollywood
Homeros,Homer
Homerose,Homer
Hommikumaa,Ranná krajina
Honduras,honduras
Hongkong,Hong Kong
Hoosea,Ozeáš
Horvaatia,Chorvátsko
Hudsoni laht,Hudson Bay
I,ja
Ida-Hiina meri,Východočínske more
Ida-Rooma keisririik,Východná rímska ríša
Ida-Timor,Východný Timor
Idamaad,orient
Iiri Vabariik,Írska republika
Iiri meri,Írske more
Iirimaa,Írsko
Iisrael,Izrael
Iisraeli,izraelský
Illüüria,Illyria
India,India
India ookean,Indický oceán
Indoneesia,Indonézia
Inglismaa,Anglicko
Ioonia,iónskej
Iraak,Irak
Iraan,Irán
Iraani,iránsky
Irene,Irene
Island,Island
Islandi,islandský
Issand,lord
Istanbul,Istanbul
Itaalia,Taliansko
Jaakobus,james
Jaapan,Japonsko
Jaapani,japonský
Jaapani meri,Japonské more
Jaava,jávsky
Jaava meri,More Java
Jaavan,jávsky
Jack,zdvihák
Jahve,Yahweh
Jakoobus,"james,"
Jamaica,jamaica
Jamaika,jamaica
James,james
James I aegne,James I čas
Janus,Janus
Jeemen,jemen
Jeesus,Ježiš
Jeesuse ristilöömine,Ukrižovanie Ježiša
Jeremija,Jeremiáš
Jerevan,Jerevan
Jerobeam,Járobeám
Jerome,Jerome
Jeruusalemm,Jeruzalem
Jesaja,Isaiah
Jesus,Ježiš
Johannes,Johannes
John,John
John Doe,John Doe
Joona,Jonáš
Joonia meri,Jónske more
Joosep,Joseph
Joosua,Joshua
Jordaania,Jordán
Jordan,Jordán
Joseph,Joseph
Jovianus,patriaci Jupitera
Jugoslaavia,Juhoslávia
Julia,Julie
Julianus,Julianus
Juliuse,Julian
Jumal,boh
Jupiter,jupiter
Jupiteri,jupiter
Juuda,Judah
Juudamaa,Judea
Juudas,Judas
Jäämeri,Severný ľadový oceán
Jõulusaar,Vianočný ostrov
Jüri,Jüri
K poolt,Autor: K
Kaanan,Canaan
Kaasan,So mnou
Kadmos,Kadmos
Kain,Kain
Kaini märk,Kainov znak
Kairo,Káhira
Kaksikud,Blíženci
Kaldea,chaldeánský
Kaljukits,Kozorožec
Kalkuta,Kolkatta
Kambodža,Kambodža
Kamerun,Kamerun
Kamtšatka,Kamčatka
Kanaari saared,Kanárske ostrovy
Kanada,Kanada
Kaplinn,Kapské mesto
Kara meri,Karaské more
Kariibi,Karibik
Kariibi meri,Karibik
Karjala,Karélie
Karl,Karl
Karpaadid,Karpaty
Kartaago,Carthage
Kasahstan,Kazachstan
Kaspia meri,Kaspické more
Kastiilia,Kastília
Kataloonia,Katalánsko
Katar,katar
Katmandu,Kathmandu
Kaukaasia,belošský
Kaukasus,Kaukaz
Keenia,Keňa
Kesk-Aafrika Vabariik,Stredoafrická republika
Kesk-Euroopa aeg,Stredoeurópsky čas
Kesk-Lääs,central West
Kiiev,Kiev
Kioto,Kioto
Kleopatra,Cleopatra
Kodiaki karu,Kodiakov medveď
Kolgata,Kalvárie
Kolkata,Kalkata
Kollane meri,Žlté more
Kolumbia,Kolumbia
Kongo,kongo
Konstantinoopol,Konštantínopol
Kopenhaagen,Kodaň
Korallimeri,Koralové more
Korea,Kórea
Korintose,V Korinte
Korintoslane,Korint
Korsika,Korzika
Kostariika,Kostarika
Kreeka,grécko
Kreeka-Rooma traditsioonis,V grécko-rímskej tradícii
Kreeta,Kréta
Kreml,Kremeľ
Krimm,krym
Krimmi,krymský
Kristus,Kristus
Kristuse tulek,Príchod Krista
Kuuba,Kuba
Kuveit,Kuvajt
Kyoto,Kyoto
Kärnten,Korint
Köln,kolínska
Kölni vesi,Kolínska voda
Küklaadid,Kyklady
Küpros,Cyprus
Küprose,Z Cypru
L-täht,Písmeno L
LSD,LSD
La Habana,La Habana
La Manche,La Manche
Laatsarus,Lazar
Ladina-,latinčina
Ladina-Ameerika,Latinská Amerika
Lahesõda,Vojna v Zálive
Laos,Na sklade
Laose,Laos
Laptevite meri,Laptevské more
Leedu,Litva
Lesotho,Lesotho
Lesoto,Lesotho
Libeeria,Libéria
Liguuria meri,Ligúrske more
Lihavõttesaar,Veľkonočný ostrov
Liibanon,V Libanone
Liibanoni,libanonský
Liibanoni seeder,Libanonský céder
Liibüa,Líbya
Liivi laht,Rižský záliv
Linnutee,Mliečna dráha
Lissabon,Lisabon
Lombardia,Lombardia
Lucy,Lucy
Luke,Luke
Luksemburg,Luxembursko
Luukas,"Luke,"
Lviv,Lviv
Lvov,Ľvov
Läti,Lotyšsko
Lääne-Saksamaa,Západné Nemecko
Läänemeri,Baltské more
Lõuna,juh
Lõuna-Aafrika,Južná Afrika
Lõuna-Aafrika Vabariik,Južná Afrika
Lõuna-Alpi,Južné Alpy
Lõuna-Ameerika,Južná Amerika
Lõuna-Hiina meri,Juhočínske more
Lõuna-Korea,Južná Kórea
MHz,MHz
Maa,Krajina
Maa-keskne,Krajina-stred
Maagimäestik,Kúzelné hory
Maarja,mary
Madagaskar,madagaskar
Makasari väin,Prieliv Makasari
Makedoonia,macedónsko
Malaisia,Malajzia
Malakia,Malachi
Maldiivid,Maledivy
Malediivi saared,Maldivské ostrovy
Mali,mali
Mallorca,Mallorca
Malta,Malta
Malta koer,Maltský pes
Mandžuuria,Manchurian
Manila,Manila
Maria Theresia,Maria Theresia
Mariaanid,Mariáni
Mark,značka
Markus,Markus
Maroko,Maroko
Mars,mars
Marss,mars
Mary,mary
Maskat,Maskat
Masqat,Masqat
Mass,závažia
Matteus,Matthew
Matthew,Matthew
Mauretaania,Mauretánia
Mauritaania,Mauritánia
Mehhiko,Mexiko
Mercuriuse,Mercurius
Mereministeerium,Ministerstvo námorných záležitostí
Merkuur,ortuť
Merkuuri,ortuť
Mesopotaamia,mezopotámia
Messias,Mesiáš
Metsik Lääs,Divoký západ
Metuusala,Kovopriemysel
Michael,michal
Miika,Miika
Miikael,michal
Mikroneesia,Mikronézia
Milaano,Miláno
Milano,Miláno
Minose,minojskej
Miss,miss
Mojave kõrb,Púšť Mojave
Mongoolia,Mongolsko
Montenegro,čierna Hora
Mooses,Moses
Moraavia,moravský
Mosambiik,Mozambik
Moskva,Moskva
Must meri,Čierne more
Myanmar,Mjanmarsko
Mükeene,Mykény
Münhen,Mníchov
Naatsaret,Nazareth
Namiibia,Namíbia
Napoli,neapol
Nehemiah,Nehemiah
Nehemja,Nehemiah
Neitsi,panenský
Nepaal,Nepál
Nepaali,nepálsky
Neptun,Neptún
Neptunus,Neptunus
Neptuun,Neptune
New Delhi,Naí Dillí
Niagara juga,Niagarské vodopády
Nicaragua,Nikaragua
Nicholas,Nicholas
Nigeeria,Nigéria
Niilus,Níl
Niineve,Ninive
Nikaraagua,Nikaragua
Nikosia,Nicosia
Noa,Noa
Noa laev,Noemova loď
Nobeli preemia,Nobelova cena
Nordkapp,Nordkapp
Norra,Nórsko
Norra meri,Nórske more
Nutumüür,Plačacia stena
Nuubia,Nubian
Nõukogude,sovietsky
Nõukogude Liit,Sovietsky zväz
Nürnberg,Norimberg
OK,OK
Obadja,Obadiah
Oidipus,Oidipus
Okeaania,Oceania
Omaan,Svojim vlastným
Orient,orient
Osaka,Osaka
Oz,unca
P,P
Paabeli,Babylon
Paan,panvica
Paapua Uus-Guinea,Papua - Nová Guinea
Padova,Padua
Pakistan,Pakistan
Palestiina,Palestínčan
Panama,Panama
Panama kanal,Panamský prieplav
Pandora laegas,Pandorina skrinka
Pandžab,Pandžáb
Pariis,Paríž
Pauluse,Paul
Peetrus,"Peter,"
Pegasus,Pegas
Peking,Beijing
Peruu,peru
Peter,Petr
Peterburi,Petrohrad
Petlemma täht,Betlehemská hviezda
Petrarca,Petrarca
Philip,filip
Piibel,Biblia
Piibli-,biblický
Platon,plato
Platoni,Plato '
Polüneesia,Polynézia
Pontius Pilatus,Pontius Pilatus
Poola,Poľsko
Portland,Portland
Porto,porto
Portugal,Portugalsko
Portugali,portugalský
Potjomkini küla ehitama,Postaviť dedinu Potemkin
Praha,Praha
Prantsusmaa,Francúzsko
Preisimaa,Prusko
Prometheus,Prometheus
Prometheuslik,Prometheus
Puerto Rico,Portoriko
Punane meri,Červené more
Punane rist,Červený kríž
Pythagoras,Pytagoras
Pythagorase teoreem,Pythagorova veta
Päike,Slnko
Pärsia,perzský
Pärsia kass,Perzská mačka
Pärsia laht,perzský záliv
Põhja-Ameerika,Severná Amerika
Põhja-Dakota,Severná Dakota
Põhja-Jäämeri,Severný ľadový oceán
Põhja-Korea,Severná Kórea
Põhjala,nordický
Põhjameri,Severné more
Põhjanaela ümbruse,Okolo nechtu
Põhjaväin,Severný prieliv
Püha,svätý
Püha Isa,Svätý otec
Püha Valentin,Svätý Valentín
Pürenee poolsaar,Pyrenejský polostrov
Püreneed,Pyreneje
Rebecca,Rebecca
Rebeka,Rebekah
Rein,rein
Rhodos,Rhodes
Rhodose koloss,Rhodský kolos
Riia,riga
Rio de Janeiro,Rio de Janeiro
Ristija Johannes,Ján Krstiteľ
Rooma,Rím
Rooma impeerium,Rímska ríša
Rooma riik,Rímsky štát
Rootsi,Švédsko
Rootsi laud,Bufetový stôl
Rumeenia,Rumunsko
Ruth,Ruth
S-,S-
S-profiil,S profil
Saalomon,Šalamoun
Saalomoni saared,Šalamúnove ostrovy
Saatan,diabol
Sahara,Sahara
Sahhalin,Sakhalin
Saja-aastane sõda,Storočie vojny
Sakarja,Zachariáš
Saksa,Nemec
Saksa Demokraatlik Vabariik,Nemecká demokratická republika
Saksamaa,Nemecko
Saksamaa Liitvabariik,Spolková republika Nemecko
Saksimaa,Sasko
Sala,tajne
Sambia,Zambia
Sankt-Peterburg,Petrohrad
Sardiinia,Sardínia
Sargasso meri,Sargasové more
Saudi Araabia,Saudská Arábia
Saul,Saul
Sefanja,Zephaniah
Serbia,Srbsko
Shanghai,Shanghai
Siber,Sibír
Siberi,sibírsky
Siimon,simon
Siion,Sion
Simon,simon
Singapur,Singapore
Sisyphos,Sizyfos
Sisyphose,Sisyphean
Sisyphose töö,Sisyfova práca
Sitsiilia,Sicília
Sixtuse kabel,Sixtínska kaplnka
Skandinaavia,škandinávsky
Skandinaavia poolsaar,Škandinávsky polostrov
Skorpion,Škorpión
Sküütia,Scythia
Slovakkia,Slovensko
Sloveenia,Slovinsko
Somaali,húkačka
Somaalia,Somálsko
Soome,Fínsko
Sophokles,Sophocles
Sri Lanka,Srí Lanka
Steiermark,Štajersko
Sudaan,Sudan
Suessi kanal,Suezský prieplav
Surnumeri,Mŕtve more
Suur Vallrahu,Veľký bariérový útes
Suur-Belt,Veľký pás
Suurbritannia,Veľká Británia
Suured Antillid,Veľké Antily
Svaasimaa,Svazijsko
Söul,Seoul
Süüria,Sýria
T-särk,tričko
TV,televízia
Taani,Dánsko
Taani väin,Dánske úžiny
Taaniel,daniel
Taavet,David
Tadžikistan,Tadžikistan
Tai,To je všetko
Taiwan,tchaj-wan
Talmud,Talmud
Tansaania,Tanzánia
Tantalos,Tantalo
Tartaros,Tartarus
Tartarose,Tartarus
Tasmaania,Tasmania
Tasmani meri,Tasmánske more
Tatarstan,Tatarstan
Taškent,Taškent
Tbilisi,Tbilisi
Te Deum,Ty Deum
Teeba,Vy áno
Teie majesteet,Vaše Veličenstvo
Teutooni,germánsky
Thbilisi,Tbilisi
Tigris,Tigris
Tiibet,Tibet
Tiibeti,Tibetská
Timori meri,Timorské more
Timoteos,Timothy
Timothy,Timothy
Tirooli,Tirolsko
Titaan,titán
Togo,Togo
Tokio,Tokio
Toora,Torah
Torrese väin,Úžiny Torresu
Toscana,Toskánsko
Toskaana,Toskánsko
Traakia,Thrákia
Traakia meri,Thrácke more
Transilvaania,Transylvania
Transilvaania Alpid,Transylvánske Alpy
Trento,Trento
Trinidad ja Tobago,Trinidad a Tobago
Tripoli,Tripoli
Tripolitaania,Tripolitaania
Trooja,trójsky
Tseilon,Cejlón
Tsugaru väin,Prieliv Tsugaru
Tulemaa,No tak
Tuneesia,Tunisko
Türgi,Turecko
Türkmenistan,Turkménsko
Türreeni meri,Tyrhénske more
Tüüringi,Durínsko
Tšaad,Chad
Tšaadi,Chad
Tšehhimaa,Česká republika
Tšehhoslovakkia,Československo
Tšiili,Čile
Tšukotka,Chukotka
Tšuktši meri,Čukčie more
U-kujuline,tvaru U
Uganda,uganda
Ukraina,Ukrajina
Ungari,maďarsko
Uraan,urán
Uranos,Uranos
Uruguay,Uruguaj
Usbeki,Uzbek
Usbekistan,Uzbekistan
Utoopia,utópia
Uuralid,Ural
Uus Testament,Nový zákon
Uus-Meremaa,Nový Zéland
V-kujuline,V-tvaru
VO idaosas),VO východ)
Vabadussammas,Socha slobody
Vahe-Ameerika,Stredná Amerika
Vahemere,Cacoecimorpha
Vahemeri,Stredozemné more
Vaikne ookean,Tichý oceán
Valgevene,bielorusko
Vana testament,Starý zákon
Varssavi,Warsaw
Vatikan,Vatikán
Veenus,venuša
Veneetsia,Benátky
Venemaa,Rusko
Venemaa föderatsioon,Ruská federácia
Venetsueela,Venezuela
Venezia,Benátky
Venezuela,Venezuela
Venus,venuša
Veronica,rozrazil
Victoria,Victoria
Victoria-aegne,viktoriánsky
Vietnam,Vietnam
Vietnami sotsialistlik vabariik,Vietnamská socialistická republika
Viin,vodka
Viini,Viedeň
Vilnius,Vilnius
Vähi pöörijoon,Rakovina na vírenie
Väikesed Antillid,Malé Antily
Väikesed saared,Malé ostrovy
Walesi,waleský
Washington,Washington
Weddelli meri,Weddellské more
William,william
Wilma,Wilma
Yerushalaym,Yerushalayim
Yorkshire,yorkshire
Yvette,Yvette
Zeppelin,ZEPELIN
Zeus,Zeus
aabits,ABC
aabitsatõde,truismus
aadellik,ušľachtilý
aaderdus,aaderdus
aadlik,šľachtic
aadlinaine,aadlinaine
aadliseisus,v šľachte
aadliseisusesse tõstma,šľachta raise
aadress,adresa
aadrilaskmine,krvácanie pacienta
aadrit laskma,strieľať míľu
aafriklane,africký
aaker,aker
aamissepp,raňajky kováč
aampalk,trám
aar,AAR
aara,papagáj
aardelaegas,truhla s pokladom
aardeleid,nájsť poklad
aare,poklad
aarum,Aarum
aas,lúka
aas-seahernes,hrášok aas-sea
aasima,robiť si žarty z
aasimine,žartovanie medzi
aasristik,purpurovej trojlístok
aasta,rok
aasta kohta,za rok
aasta-,výročné
aastaaeg,sezóna
aastaajale mitte omane,nie je typické pre sezónu
aastaajale omane,charakteristika sezóny
aastakümme,desaťročia
aastalõpu-,koniec roka
aastane,rokov
aastane loom,ročné zviera
aastane taim,jednoročná rastlina
aastapäev,výročie
aastaraamat,výročné
aastarendi saaja,ročný nájomca
aastarent,ročný nájom
aastaringne,celoročne
aastaringselt,po celý rok
aastas,za rok
aastatuhat,tisícročia
aastatulu,ročný príjem
aatom,atóm
aatomi-,atómový
aatomituum,atómové jadro
aatomnumber,atómové číslo
aatrium,átrium
aažio,poistné
abajas,zátoka
abaksiaalne,abaksiaalne
abakus,počítadlo
abaluu,lopatka
abandoon,opustenie
abduktsioon,únos
abi,pomôcť
abi-,pomocný
abielluma,oženiť sa
abielu,manželstvo
abielu rikkuv,cudzoložné
abielu-,manželský
abielueelne,pred manželstvom
abieluettepanek,návrh manželstva
abieluline,manželský
abielumees,ženatý
abielumehelik,ženatý muž
abielunaiselik,ženatý
abielupaar,manželský pár
abielurikkuja,cudzoložné
abielurikkumine,cudzoložstvo
abielus,ženatý
abielusõrmus,snubný prsteň
abieluväline,mimo manželstva
abieluvälised seksuaalsuhed,mimomanželské sexuálne vzťahy
abijoon,linka pomoci
abikaasa,manžel
abiks olema,pomôcť
abiks võtma,pomôcť
abil,s
abiline,pomôcť
abinõu,zmerať
abiogenees,abiogenees
abiootiline,abiotické
abipaluv,požiadať o pomoc
abiprofessor,odborný asistent
abiraha,výhoda
abistama,pomôcť
abistama kippuv,spýtal pomáhať
abistamine,podporujúce
abistav,pomocný
abitegevus,pomocné činnosti
abitu,bezmocný
abitult,bezmocne
abiturient,postgraduálny študent
abitus,bezmocnosť
abitöö,pomocné práce
abivahend,prostriedky
abivahendid,AIDS
abivalmilt,ochotne
abivalmis,užitočný
abiverb,pomocné sloveso
abiväed,výstuhy
abivägi,zosilnenie
ablas,žravý
ablaut,ablaut
abolitsionist,abolitionist
aboneerima,predplatiť
abonement,predplatné
abonementpilet,predplatný lístok
abonent,predplatiteľ
abordi läbiviija,vykonávajúci potraty
aborigeen,domorodec
abort,potrat
aborti tegema,potrat
abrakadabra,Abracadabra
abrasiiv-,brusivo
abrasioon,odreniny
absint,absint
absolutism,absolutizmus
absolutist,Absolut
absolutistlik,absolutistický
absoluut,absoluut
absoluutne,absolútny
absoluutselt,absolútne
absorbeerima,absorbovať
absorbent,absorbujúce
absorptsioon,vstrebávanie
abstraheerima,abstraktné
abstraheeriv,abstraktné
abstraktne,abstraktné
abstraktselt,abstraktne
abstraktsionist,abstraktsionist
abstraktsioon,abstrakcie
abstsiss,úsečka
absurd,nezmyselnosť
absurdne,absurdné
absurdselt,nezmyselne
absurdsus,nezmyselnosť
abt,opát
abtiss,abatyše
abtkond,opátstva
abüssaal,hlbinná zóna
abüssaalne,abüssaalne
adaadžo,adagio
adagio,adagio
adamiit,Adamie
adaptatsioon,adaptácia
adapteerima,prispôsobiť
adapter,adaptér
adaptsioon,"adaptácie,"
adekvaatne,primeraný
adekvaatselt,primerane
adekvaatsus,primeranosť
adenoid,adenoidná
adenoom,adenóm
ader,pluh
adiabaatiline,adiabatické
adjektiiv,prídavné meno
adjutant,pobočník
administraator,správca
administratiivne,administratívne
administratsioon,podávanie
admiral,admirál
admiralikaater,bárka
admiraliteet,Admirality
adopteerima,Adopcia detí
adopteeritud,prijaté
adoptiiv-,adoptívna
adrahõlm,pluh
adratera,radlice
adrenaliin,adrenalín
adressaat,adresát
adresseeritud,riešiť
adru,morská riasa
adsorbent,adsorbent
adsorptsioon,adsorpcia
advektsioon,najmä advekcia
advent,príchod
adventism,adventisti
adventist,adventistov
adverb,príslovka
adverbiaal,adverbiaal
adverbiaalne,príslovečný
advokaadi palkamine,najímanie právnika
advokaat,právnik
advokatuur,Advokátska komora
aed,záhradné
aed-liivatee,tymián
aed-mustjuur,záhradné černice
aed-mustköömen,horčica rasca
aed-piimjuur,koreň záhradného mlieka
aed-põõsalind,záhradný ker
aedmaasikas,jahoda
aednik,záhradník
aedvili,zelenina
aedviljamüüja,predajca zeleniny
aeg,čas
aeg-ajalt,čas od času
aega surnuks lööma,čas zomrieť
aega säästma,šetriť čas
aega viitmata,bezodkladne
aega võitev,víťaz času
aega võtma,nejakú dobu trvať
aegamööda,čas odovzdať
aegkond,éra
aeglane,pomalý
aeglasel tulel hoidma,udržujte ho na pozvoľnom ohni
aeglaselt,pomaly
aeglus,pomalosť
aeglustama,spomaliť
aeglustuma,spomaliť
aeglustumine,spomalenie
aegruum,časopriestor
aeguma,vypršať
aegumine,vypršania
aer,krátke veslo
aeraator,perlátor
aeratsioon,prevzdušňovanie
aerobuss,airbus
aerodünaamiline,aerodynamický
aeronautika,aeronautika
aeroob,aerobická
aeroobika-,aerobik
aeroobne,aerobická
aerosool,aerosól
aerutaja,veslári
aerutama,riadok
aerutõmme,zdvih veslá
aerutõste,pádlo
aetis,aetis
aetud,vylúčený
aevastama,kýchnutí
afaasia,afázia
afeel,afélium
afiinne koordinaat,afinitná súradnica
afiks,pripevniť
afirmatiiv,afirmatiiv
aforism,aforizmus
aforist,aforizmy
aforistlik,aforisticky
afroameeriklane,Američan Afričana
afrodisiakum,afrodiziakum
afäär,záležitosť
aga,však
agaav,agáve
aganaleib,aganový chlieb
agape,s ústami dokorán
agar,horlivý
agarus,dychtivosť
agens,agent
agent,agent
agentuur,kancelária
agitaator,agitátor
agiteerima,sondovať
agitpropaganda,agitpropaganda
aglomeraat,aglomerácií
aglutinaat,aglutinaat
aglutineerima,stmeliť
agnostik,agnostik
agnostitsism,agnosticizmus
agoonia,utrpenie
agorafoobia,agorafóbia
agraafia,agraafia
agressiivne,útočný
agressiivne enesekindlus,agresívne sebavedomie
agressiivselt,agresívne
agressiivselt mehelik,agresívne mužský
agressiivsus,agresivita
agressioon,agresie
agressor,agresor
agul,predmestí
ah jäta juba,ah už odísť
ahastus,úzkosť
ahel,reťaz
ahel-,fizostégia
ahelad,putá
ahelaisse koonduma,sústrediť sa na reťaz
ahelaisse panema,dal v reťaziach
aheldama,reťaziť
aheldatud,priviazané
aheldus,väzba
ahelik,chrbát
ahend,striktúra
ahendusklapp,sýtič
